OID_,FID_Garage_points_buffered,OID1,CIT_CODE,FAC_CODE,LotName,AggieMap,Name,LotType,ORIG_FID,X,Y,BUFF_DIST,FID_Buildings,Number,Abbrev,Private,Type,Bldg,BldgAbbr,BldgName,YearBuilt,NumFloors,Address,City,Zip,MapDisplay,Shape_Length,Shape_Area
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.33362,30.61373,150,156, ,,No,UNIVERSITY,,,,,,,,, |  | ,0.000254969,3.39072E-09
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.33362,30.61373,150,157, ,,No,UNIVERSITY,,,,,,,,, |  | ,0.000418735,1.00249E-08
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.33362,30.61373,150,316,378,SSPG,No,GARAGE,378,SSPG,South Side Parking Garage,1990,4,750 Bizzell St,College Station,77843,South Side Parking Garage | SSPG | 0378,0.005382745,1.3684E-06
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.33362,30.61373,150,323, ,,No,UNIVERSITY,,,,,,,,, |  | ,0.000258294,3.5327E-09
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.33362,30.61373,150,391,448,ADAM,No,ACADEMIC,448,ADAM,Adams Band Hall,1970,3,611 Lewis St,College Station,77843,Adams Band Hall | ADAM | 0448,0.000145316,2.71873E-10
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.33362,30.61373,150,803,291,RUDD,No,HOUSING TAMU,291,RUDD,Rudder Residence Hall,1989,4,770 Mosher Ln,College Station,77843,Rudder Residence Hall | RUDD | 0291,0.001301893,6.8976E-08
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.33362,30.61373,150,829,292,EPPR,No,HOUSING TAMU,292,EPPR,Eppright Residence Hall,1989,4,695 Spence St,College Station,77843,Eppright Residence Hall | EPPR | 0292,0.00220168,1.42932E-07
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.33362,30.61373,150,832,293,APPE,No,HOUSING TAMU,293,APPE,Appelt Residence Hall,1989,4,660 Mosher Ln,College Station,77843,Appelt Residence Hall | APPE | 0293,0.000494536,1.12674E-08
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.33777,30.6165,150,105,468,LIBR,No,LIBRARY,468,LIBR,Evans Library,1929,7,400 Spence St,College Station,77843,Evans Library | LIBR | 0468,0.005929167,6.53926E-07
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.33777,30.6165,150,212,357,,No,UNIVERSITY,357,,Vending Machine Booth,1999,1,408 Spence St,College Station,77843,Vending Machine Booth |  | 0357,0.000301508,5.12343E-09
